K,n_cases,Mean_Dice_percent,Liver_Dice_percent,Tumor_Dice_percent
0,26,78.10414487862329,94.27144291330757,61.93684684393901
1,26,78.92802118060429,94.46463040633488,63.39141195487369
2,26,79.09777849673965,94.47974035476346,63.71581663871589
4,26,79.39048413394752,94.44736145568235,64.33360681221271
8,26,79.84540291431887,94.37438015018645,65.31642567845127
16,26,79.840411953874,94.3164594841471,65.3643644236009
32,26,79.7342861772846,94.28586981800288,65.18270253656631
inf,26,79.9462223181751,94.31014544136782,65.58229919498237
