K,case,WT_Dice,TC_Dice,ET_Dice,Avg_Dice
0,BraTS20_Training_003,0.7585884763741563,0.9102382485511913,0.8571912013536379,0.8420059754263285
0,BraTS20_Training_008,0.8201074682657113,0.23926149208741523,0.7903152124257652,0.6165613909262974
0,BraTS20_Training_010,0.8405493969183574,0.9103318086110506,0.8618626211546565,0.8709146088946881
0,BraTS20_Training_020,0.8971071424241323,0.8510368967418667,0.7262765803558513,0.8248068731739501
0,BraTS20_Training_027,0.7571899238108312,0.930161586916546,0.8454054752900869,0.844252328672488
0,BraTS20_Training_029,0.9397748653733861,0.9401389631213255,0.8685725249424405,0.9161621178123841
0,BraTS20_Training_033,0.9564747228980806,0.9603146377690843,0.9188891943909816,0.9452261850193823
0,BraTS20_Training_048,0.7328068374636026,0.896570796460177,0.729997003296374,0.7864582124067178
0,BraTS20_Training_052,0.9112795633717404,0.9482308240322964,0.8717154697390591,0.9104086190476987
0,BraTS20_Training_065,0.7669216061185469,0.8965191740412979,0.8890358855630891,0.850825555240978
0,BraTS20_Training_066,0.9458630552396705,0.9178670227988172,0.829774472168906,0.8978348500691311
0,BraTS20_Training_071,0.9165918123761828,0.6484425516733929,0.8112453366494937,0.7920932335663564
0,BraTS20_Training_076,0.9077523357237463,0.8491220029218826,0.774982690976229,0.8439523432072858
0,BraTS20_Training_080,0.8993642987455949,0.8625308253952904,0.8280525795912165,0.8633159012440338
0,BraTS20_Training_086,0.6935590239613102,0.10679409931435695,0.20064724919093851,0.3336667908222019
0,BraTS20_Training_088,0.8430061416578842,0.9261092374403224,0.8224834417328003,0.8638662736103356
0,BraTS20_Training_090,0.9378455352655386,0.9736532580569278,0.9391546262227407,0.9502178065150689
0,BraTS20_Training_094,0.9012222499376403,0.726223032512914,0.8916929547844374,0.8397127457449972
0,BraTS20_Training_096,0.97205910427246,0.9496621243829576,0.9062323266598801,0.9426511851050993
0,BraTS20_Training_098,0.9783615586221469,0.9687279822231858,0.918429003021148,0.9551728479554935
0,BraTS20_Training_099,0.5480419194704909,0.8031599736668861,0.8695303091128062,0.7402440674167278
0,BraTS20_Training_101,0.9198221383221125,0.9068404264020284,0.8933654642668876,0.9066760096636761
0,BraTS20_Training_102,0.9343384412588565,0.9283693961250177,0.8406993321827868,0.901135723188887
0,BraTS20_Training_111,0.9445285034043879,0.9623393366410126,0.9278464446706413,0.944904761572014
0,BraTS20_Training_117,0.9656928819534449,0.9379807513656125,0.9316403366307398,0.9451046566499324
0,BraTS20_Training_121,0.980093397416232,0.9744883488333905,0.9409496529690426,0.9651771330728884
0,BraTS20_Training_125,0.9762219856250642,0.9473857373947852,0.9493389944996623,0.9576489058398372
0,BraTS20_Training_139,0.8473335355023177,0.8915293215791491,0.8683142751752121,0.8690590440855597
0,BraTS20_Training_142,0.9216972392069668,0.9134812604885325,0.8930103164483598,0.909396272047953
0,BraTS20_Training_145,0.9349973998959958,0.9343546918657584,0.8133486275242084,0.8942335730953209
0,BraTS20_Training_155,0.9720810856929929,0.968223885005415,0.9346444072253138,0.9583164593079072
0,BraTS20_Training_160,0.9137283432593395,0.8670135630811225,0.8345938173975557,0.8717785745793393
0,BraTS20_Training_165,0.9643670696888175,0.9549814356435643,0.9298460178295145,0.9497315077206321
0,BraTS20_Training_166,0.9451480931431614,0.9751214225504756,0.9568600503248886,0.9590431886728418
0,BraTS20_Training_173,0.8970868388563206,0.8640569395017793,0.8709353960750609,0.8773597248110536
0,BraTS20_Training_180,0.8759607754894182,0.9552934414553996,0.9348808020391878,0.9220450063280019
0,BraTS20_Training_182,0.9276457343007255,0.9334612047312417,0.8932984790874525,0.91813513937314
0,BraTS20_Training_191,0.9473093281906322,0.9227677373722593,0.9253818665718334,0.9318196440449084
0,BraTS20_Training_195,0.9420366472823756,0.9200912118378529,0.7863456090651558,0.8828244893951281
0,BraTS20_Training_196,0.9317855515935973,0.9589288268365405,0.9476320758352279,0.946115484755122
0,BraTS20_Training_198,0.9520718412971022,0.9065572223794698,0.8692164179104478,0.9092818271956733
0,BraTS20_Training_199,0.9608081762864064,0.942671126343753,0.9106883256431325,0.9380558760910973
0,BraTS20_Training_202,0.9608581087027421,0.9454701685755311,0.8806369199691046,0.9289883990824593
0,BraTS20_Training_212,0.9459815898509247,0.9020174552611815,0.7287233240328783,0.8589074563816615
0,BraTS20_Training_213,0.8839360876139103,0.7542635044023162,0.7946670924477087,0.8109555614879783
0,BraTS20_Training_227,0.8601810744266299,0.8279475982532751,0.8024894316580554,0.8302060347793202
0,BraTS20_Training_230,0.9754293906333893,0.9689106021191549,0.982851412334949,0.9757304683624977
0,BraTS20_Training_233,0.9190394889023518,0.6511627906976745,0.8671045982819606,0.8124356259606623
0,BraTS20_Training_238,0.9032083784849548,0.9080219215011617,0.5716681270205759,0.7942994756688974
0,BraTS20_Training_240,0.9009088691976262,0.8939856873209218,0.6800916603013679,0.8249954056066385
0,BraTS20_Training_243,0.9263004003333835,0.85378243787693,0.8067577967530326,0.8622802116544487
0,BraTS20_Training_250,0.9047044025157233,0.30331202789076117,0.8015617042946868,0.6698593782337238
0,BraTS20_Training_253,0.9613052332898561,0.9416904224204954,0.7840477482365709,0.895681134648974
0,BraTS20_Training_261,0.94742276034589,0.7851769344330407,0.6077757207088071,0.7801251384959126
0,BraTS20_Training_264,0.6061058923996584,0.6680386006273601,nan,0.6370722465135092
0,BraTS20_Training_271,0.9585573324259953,0.8860571992859585,0.5276872964169381,0.7907672760429639
0,BraTS20_Training_273,0.8780061175098681,0.8099798902484747,0.4178094390026714,0.7019318155870048
0,BraTS20_Training_274,0.8584668672384341,0.5892562587233781,0.6586026679300594,0.7021085979639571
0,BraTS20_Training_288,0.9191190980490179,0.8122063053569903,0.8774090882300937,0.8695781638787006
0,BraTS20_Training_291,0.959224111950375,0.7112704606496731,0.22410147991543342,0.6315320175051605
0,BraTS20_Training_298,0.8161608141758995,0.44430972900350624,0.11009174311926606,0.4568540954328906
0,BraTS20_Training_306,0.9402772910153786,0.7604125791804474,0.0,0.5668966233986087
0,BraTS20_Training_309,0.9045395156530905,0.7810066302585056,0.5667222685571309,0.7507561381562423
0,BraTS20_Training_317,0.9405873405873406,0.8701018663097628,0.8984158913754086,0.903035032757504
0,BraTS20_Training_330,0.9496229369521787,0.8316908512454412,0.0,0.59377126273254
0,BraTS20_Training_331,0.793604049601248,0.39231128114211067,0.6662444585180494,0.6173865964204693
0,BraTS20_Training_333,0.948155938274433,0.7968018356251793,0.17095569684125542,0.6386378235802892
0,BraTS20_Training_338,0.9506442878759567,0.9731038837512289,0.9434783574299864,0.9557421763523907
0,BraTS20_Training_342,0.9221013328643562,0.8542904968576784,0.791350626492897,0.8559141520716439
0,BraTS20_Training_343,0.9439295271935207,0.9503643933287351,0.9183149357963505,0.9375362854395354
0,BraTS20_Training_351,0.9571333060374092,0.9705610357583231,0.9465275513531138,0.9580739643829488
0,BraTS20_Training_361,0.9214603292382998,0.044121098333724476,0.0,0.3218604758573414
0,BraTS20_Training_368,0.9444269381008722,0.8781535423352259,0.921429924840523,0.914670135092207
0,BraTS20_Training_369,0.9498564615191061,0.9619380438126642,0.9419565564410172,0.9512503539242624
1,BraTS20_Training_003,0.7657729074376312,0.9186746987951807,0.8563228093871349,0.8469234718733155
1,BraTS20_Training_008,0.8419792498004789,0.8626677190213102,0.8286663502610346,0.8444377730276079
1,BraTS20_Training_010,0.8187682993399831,0.9045286715394469,0.8684608915054668,0.8639192874616324
1,BraTS20_Training_020,0.9050337249684625,0.8671937243365815,0.7373747986271626,0.8365340826440688
1,BraTS20_Training_027,0.7516395164633004,0.9332883829770356,0.8487329937455671,0.8445536310619678
1,BraTS20_Training_029,0.9377337661267733,0.9378347899633493,0.8650618586362329,0.9135434715754519
1,BraTS20_Training_033,0.955261076111505,0.9581686359889239,0.9180820405910847,0.9438372508971712
1,BraTS20_Training_048,0.7033129260561851,0.9092268580828473,0.7592378752886836,0.7905925531425719
1,BraTS20_Training_052,0.9186597969823922,0.948429484294843,0.8724343512492605,0.9131745441754986
1,BraTS20_Training_065,0.7968166043780032,0.9332498434564809,0.8972431077694235,0.8757698518679692
1,BraTS20_Training_066,0.9432588829829017,0.9227753822030577,0.827020277100553,0.8976848474288376
1,BraTS20_Training_071,0.9170319203308192,0.7768717568569311,0.8123498531897856,0.8354178434591786
1,BraTS20_Training_076,0.9106233791182403,0.8757095653647378,0.8082448469706434,0.8648592638178738
1,BraTS20_Training_080,0.8979591836734694,0.8486291998175645,0.8314246449839671,0.8593376761583337
1,BraTS20_Training_086,0.7472344908626768,0.22744503411675512,0.2488479262672811,0.4078424837489043
1,BraTS20_Training_088,0.8368224091296455,0.9188272569057075,0.8391156062566153,0.8649217574306561
1,BraTS20_Training_090,0.9375393546603596,0.9729895352125955,0.9369095061120315,0.9491461319949955
1,BraTS20_Training_094,0.9413904165114699,0.9360655737704918,0.9121900826446281,0.9298820243088631
1,BraTS20_Training_096,0.970163545137692,0.9468124152238091,0.9050745729822424,0.9406835111145812
1,BraTS20_Training_098,0.9798517262132735,0.9635636433607763,0.9204118458762339,0.9546090718167614
1,BraTS20_Training_099,0.6372712859407808,0.9377203290246768,0.9271743653766126,0.8340553267806899
1,BraTS20_Training_101,0.9146921551377063,0.906453506246681,0.8933509135430401,0.9048321916424759
1,BraTS20_Training_102,0.9364406779661016,0.9364956301099521,0.8623680786468122,0.9117681289076219
1,BraTS20_Training_111,0.9537506349833493,0.9643576358339687,0.9310275255800547,0.9497119321324576
1,BraTS20_Training_117,0.9631753579266381,0.9637057893315848,0.9345051889368886,0.9537954453983705
1,BraTS20_Training_121,0.9805052328418409,0.975900911008392,0.9390562663364974,0.96515413672891
1,BraTS20_Training_125,0.9752642649838912,0.948877196410378,0.9507113739264941,0.9582842784402544
1,BraTS20_Training_139,0.8710791764543319,0.9004185944040538,0.8467025403579026,0.872733437072096
1,BraTS20_Training_142,0.929172857850421,0.9356105221829604,0.8688873139617292,0.9112235646650367
1,BraTS20_Training_145,0.9354742644600976,0.9364494806421152,0.8208549803528574,0.8975929084850235
1,BraTS20_Training_155,0.9647999448599097,0.9689712696941613,0.9336721819689269,0.955814465507666
1,BraTS20_Training_160,0.9108655210200389,0.8829089219930452,0.8435276984260348,0.8791007138130396
1,BraTS20_Training_165,0.9635258984656575,0.9522108777514655,0.9277595725208868,0.9478321162460032
1,BraTS20_Training_166,0.9492210600236547,0.9744506445716679,0.9553057362866423,0.959659146960655
1,BraTS20_Training_173,0.8988510539158584,0.8796736531157687,0.8968588026576686,0.8917945032297653
1,BraTS20_Training_180,0.8711831367015318,0.9577056562465014,0.9372365592226426,0.9220417840568919
1,BraTS20_Training_182,0.9189977428926479,0.9261707214175221,0.8930892612247332,0.9127525751783011
1,BraTS20_Training_191,0.9473666935806797,0.9285509632241178,0.9281831611729342,0.9347002726592439
1,BraTS20_Training_195,0.9424050188909935,0.9206859768605892,0.8000782910189017,0.8877230955901615
1,BraTS20_Training_196,0.9327470789277946,0.9593626727196597,0.9479281732473605,0.9466793082982715
1,BraTS20_Training_198,0.950368397519392,0.9092516814825267,0.8729261169452557,0.9108487319823914
1,BraTS20_Training_199,0.9657827304689828,0.9440318632535369,0.9114893078577755,0.9404346338600984
1,BraTS20_Training_202,0.9607627582254409,0.9400360376799033,0.8860146468225845,0.9289378142426429
1,BraTS20_Training_212,0.9424305796070739,0.905722135123579,0.7080717235137735,0.8520748127481421
1,BraTS20_Training_213,0.9125291855514353,0.827112201374616,0.8860023724792409,0.8752145864684308
1,BraTS20_Training_227,0.8586986448040625,0.848159792861106,0.7962940681025147,0.8343841685892278
1,BraTS20_Training_230,0.9745228603879473,0.9716362692282728,0.9799758097029969,0.9753783131064058
1,BraTS20_Training_233,0.9467910983488873,0.8088500903070439,0.8727517229786519,0.8761309705448609
1,BraTS20_Training_238,0.9068473997451094,0.9598927873176897,0.5306878233490991,0.7991426701372993
1,BraTS20_Training_240,0.8935003325350308,0.8851101664304966,0.7063823758588935,0.828330958274807
1,BraTS20_Training_243,0.930092882630131,0.8595381449584635,0.8075457875457875,0.865725605044794
1,BraTS20_Training_250,0.9202952174510972,0.8,0.7989102673250468,0.839735161592048
1,BraTS20_Training_253,0.9619504304119244,0.9403415969751718,0.7833758618817526,0.895222629756283
1,BraTS20_Training_261,0.9501878402830181,0.7818780650961444,0.5175667828106852,0.7498775627299493
1,BraTS20_Training_264,0.8757500821415601,0.8618931265271433,nan,0.8688216043343517
1,BraTS20_Training_271,0.9590541183939058,0.8854057554230864,0.1927710843373494,0.6790769860514473
1,BraTS20_Training_273,0.8801967356388097,0.8441652759007113,0.45844820795588814,0.7276034064984698
1,BraTS20_Training_274,0.8707081921234078,0.6055336088604659,0.6830470044475452,0.7197629351438063
1,BraTS20_Training_288,0.9155729572437856,0.7949633915918753,0.8812269507697711,0.8639210998684774
1,BraTS20_Training_291,0.9610424687555529,0.6828564241995951,0.21904761904761905,0.6209821706675891
1,BraTS20_Training_298,0.8685959353991191,0.5000093648742298,0.08,0.4828684334244497
1,BraTS20_Training_306,0.9440956250209851,0.7576627829524236,0.0,0.5672528026578029
1,BraTS20_Training_309,0.9062545729269115,0.7850636588908827,0.5614604462474645,0.750926226021753
1,BraTS20_Training_317,0.944144400227402,0.8064764841942945,0.8902423550310874,0.8802877464842612
1,BraTS20_Training_330,0.9626433836204888,0.8602842511706876,0.0,0.6076425449303922
1,BraTS20_Training_331,0.8274396872951194,0.5188778522111855,0.7064950980392157,0.6842708791818403
1,BraTS20_Training_333,0.9595124784186557,0.8287522074646886,0.1575213853536407,0.648595357078995
1,BraTS20_Training_338,0.9576702864217432,0.9752130501144747,0.9476304283181163,0.9601712549514447
1,BraTS20_Training_342,0.9315372762988507,0.9204452788682179,0.8149037228531273,0.8889620926733987
1,BraTS20_Training_343,0.9435656758792514,0.9517698233497144,0.9186597152716571,0.9379984048335409
1,BraTS20_Training_351,0.9570322479730963,0.9745248047953309,0.9461769311064718,0.959244661291633
1,BraTS20_Training_361,0.9467001947587703,0.05027232555749666,0.0,0.33232417343875564
1,BraTS20_Training_368,0.9475690321794988,0.9476536252303024,0.9178064762389465,0.9376763778829159
1,BraTS20_Training_369,0.9557440745132941,0.9698733150274588,0.953733834460068,0.9597837413336069
2,BraTS20_Training_003,0.7697503165991776,0.9183337900794738,0.8557448962375569,0.8479430009720694
2,BraTS20_Training_008,0.843139145647652,0.8580542264752791,0.8297771455666193,0.8436568392298501
2,BraTS20_Training_010,0.813117958871665,0.9029969049596135,0.8694117647058823,0.8618422095123869
2,BraTS20_Training_020,0.9063723893995657,0.8697928907858493,0.7400986189832769,0.8387546330562307
2,BraTS20_Training_027,0.7480016495218081,0.9332645202270833,0.8491058482358628,0.8434573393282513
2,BraTS20_Training_029,0.9375406582728777,0.9361431299059473,0.8643514965464313,0.912678428241752
2,BraTS20_Training_033,0.9544564674273638,0.9574436567558988,0.9181695497484971,0.9433565579772533
2,BraTS20_Training_048,0.7004548125258416,0.9081129538323621,0.7639484978540773,0.790838754737427
2,BraTS20_Training_052,0.9191523407048784,0.9481365806780985,0.8720629005135664,0.9131172739655145
2,BraTS20_Training_065,0.8015485947005883,0.934908268409148,0.8983903420523138,0.8782824017206833
2,BraTS20_Training_066,0.9425693400020986,0.9219394098017405,0.8270087297345448,0.8971724931794612
2,BraTS20_Training_071,0.9171123326426027,0.7740948813982522,0.8116110045926784,0.8342727395445112
2,BraTS20_Training_076,0.9105006912303901,0.8795608108108108,0.8127699363284207,0.8676104794565406
2,BraTS20_Training_080,0.8974171794069593,0.8473903754196764,0.8326961309068664,0.8591678952445007
2,BraTS20_Training_086,0.7562129690585911,0.23858140784524448,0.2675438596491228,0.4207794121843195
2,BraTS20_Training_088,0.8354599654538363,0.918132309615213,0.8412168102690346,0.8649363617793613
2,BraTS20_Training_090,0.9360035630365672,0.9729869884970771,0.9373853108356085,0.9487919541230841
2,BraTS20_Training_094,0.9421676675685783,0.93768056128766,0.9115364718054837,0.9304615668872408
2,BraTS20_Training_096,0.9697453206505063,0.9467619929143659,0.905015574917611,0.940507629494161
2,BraTS20_Training_098,0.9798800051993186,0.9631311671689856,0.9207327439646379,0.9545813054443141
2,BraTS20_Training_099,0.6444848799930681,0.9393223010244287,0.9295539808253439,0.8377870539476135
2,BraTS20_Training_101,0.914186763399688,0.9063060035842294,0.8934277962013868,0.9046401877284348
2,BraTS20_Training_102,0.9360864067002509,0.9389602189012839,0.8667670035117896,0.9139378763711082
2,BraTS20_Training_111,0.955416176071008,0.9648121359033507,0.9312528788576693,0.9504937302773427
2,BraTS20_Training_117,0.9626665097208326,0.966374835360657,0.9357633701822528,0.9549349050879141
2,BraTS20_Training_121,0.9802248325352324,0.9760126894817963,0.9385284244125255,0.9649219821431848
2,BraTS20_Training_125,0.975282603344001,0.9489947564702913,0.9503822950608123,0.9582198849583682
2,BraTS20_Training_139,0.8710551297784158,0.8965059708093763,0.8449680411079082,0.8708430472319001
2,BraTS20_Training_142,0.9292636398321251,0.9351669941060904,0.8664063424446811,0.9102789921276321
2,BraTS20_Training_145,0.9356865745041255,0.9365769170209416,0.8218896558992465,0.8980510491414379
2,BraTS20_Training_155,0.9625339267148646,0.9685907899292674,0.9324838925084372,0.9545362030508565
2,BraTS20_Training_160,0.9105711784752144,0.8845520294443158,0.8480253384533453,0.8810495154576251
2,BraTS20_Training_165,0.9630335391976091,0.9515211957155254,0.9269799054373522,0.9471782134501622
2,BraTS20_Training_166,0.9501691270098943,0.9743548426081842,0.9548661369502505,0.959796702189443
2,BraTS20_Training_173,0.8993274880083676,0.8808590181445095,0.8994074638760872,0.8931979900096548
2,BraTS20_Training_180,0.8680011319468909,0.9577802783977519,0.9371799117422813,0.920987107362308
2,BraTS20_Training_182,0.9187482565364036,0.924710969076041,0.8930915165254742,0.9121835807126395
2,BraTS20_Training_191,0.9465982229962876,0.9292369777898499,0.929073402240628,0.9349695343422552
2,BraTS20_Training_195,0.9420793715997555,0.9205572165456517,0.8015527256478999,0.888063104597769
2,BraTS20_Training_196,0.9343998295611199,0.9592531769736915,0.9480527823818885,0.9472352629722334
2,BraTS20_Training_198,0.9504016171589899,0.9092704024069199,0.8725226555578008,0.9107315583745702
2,BraTS20_Training_199,0.9662227415258784,0.9442254767732924,0.9112898119419997,0.9405793434137234
2,BraTS20_Training_202,0.9612085800434313,0.9394973131467558,0.8871890669550684,0.9292983200484185
2,BraTS20_Training_212,0.9407238567043044,0.9030669702273292,0.7066077803332816,0.8501328690883051
2,BraTS20_Training_213,0.9197930478641811,0.842430391162214,0.9106717920556471,0.8909650770273473
2,BraTS20_Training_227,0.8587606487549148,0.8349624060150376,0.7844806616395038,0.8260679054698188
2,BraTS20_Training_230,0.9746617767364725,0.9711294622537227,0.9797592629950911,0.9751835006617621
2,BraTS20_Training_233,0.9486024486024486,0.8189168573607933,0.8731731899882412,0.8802308319838277
2,BraTS20_Training_238,0.9078439247428095,0.9600606566334722,0.5289312268944796,0.7989452694235871
2,BraTS20_Training_240,0.8921075250474048,0.880644435697014,0.7077648403457389,0.8268389336967191
2,BraTS20_Training_243,0.9337312664299846,0.8599114909201893,0.80806971294669,0.8672374900989546
2,BraTS20_Training_250,0.9187829890898613,0.8020304568527918,0.7955631399317407,0.8387921952914645
2,BraTS20_Training_253,0.9617826293088495,0.9404462338533803,0.7834048796391893,0.8952112476004729
2,BraTS20_Training_261,0.9500789186126513,0.7804683759380019,0.5041425324437275,0.7448966089981269
2,BraTS20_Training_264,0.8966252978201344,0.8668036110060003,0.0,0.5878096362753783
2,BraTS20_Training_271,0.9589737479645737,0.8879595149431873,0.26153846153846155,0.7028239081487407
2,BraTS20_Training_273,0.8808987615070152,0.8429372965978117,0.47374847374847373,0.7325281772844335
2,BraTS20_Training_274,0.8726504320960667,0.6096839742812084,0.6880653548382424,0.7234665870718392
2,BraTS20_Training_288,0.9148747254507947,0.7923797030588516,0.8817971743645245,0.8630172009580569
