K,case,Liver_Dice,Tumor_Dice,Avg_Dice
0,Liver_0001,0.9683606397449561,0.6481567895473636,0.8082587146461598
0,Liver_0027,0.9714205164965881,0.8507306120946667,0.9110755642956274
0,Liver_0029,0.9393758907058312,0.857344877998455,0.898360384352143
0,Liver_0031,0.933088163059065,0.2667452062438964,0.5999166846514807
0,Liver_0054,0.937554847787932,0.4619090635350798,0.6997319556615059
0,Liver_0057,0.8608397902991521,0.5591885559191151,0.7100141731091336
0,Liver_0063,0.9729052429171137,0.6428721394079362,0.8078886911625249
0,Liver_0071,0.9528910563105223,0.8425677867902666,0.8977294215503944
0,Liver_0072,0.9373022278288077,0.5398011211012336,0.7385516744650207
0,Liver_0074,0.9254541583561307,0.3002309468822171,0.6128425526191739
0,Liver_0076,0.9596649834459771,0.832552693208431,0.896108838327204
0,Liver_0077,0.9574341658559057,0.8893470138938255,0.9233905898748656
0,Liver_0079,0.9242640331130637,0.7991235620940605,0.8616937976035621
0,Liver_0080,0.9447445611284422,0.8187090538073246,0.8817268074678835
0,Liver_0082,0.9620407993284319,0.872415719873347,0.9172282596008894
0,Liver_0094,0.9593199473760017,0.7890899888156875,0.8742049680958446
0,Liver_0097,0.9127013926732831,0.6881003456898083,0.8004008691815456
0,Liver_0099,0.9666891820940597,0.9133144801068703,0.940001831100465
0,Liver_0100,0.9776163016402915,0.7043478260869566,0.8409820638636241
0,Liver_0101,0.9731835112234511,0.8790883887288756,0.9261359499761634
0,Liver_0108,0.9086865334496764,0.3112115870947965,0.6099490602722365
0,Liver_0114,0.9591542361332653,0.5631459706411025,0.7611501033871839
0,Liver_0115,0.92846716972315,0.0,0.464233584861575
0,Liver_0127,0.9601735607439591,0.012562349898392758,0.48636795532117594
0,Liver_0129,0.9646609816156425,0.6881492197968333,0.8264051007062378
0,Liver_0131,0.8525812644092682,0.3728748801675999,0.6127280722884341
1,Liver_0001,0.9676520693825776,0.6802873821284239,0.8239697257555008
1,Liver_0027,0.9732557444643811,0.8551016301066613,0.9141786872855212
1,Liver_0029,0.9410021708949186,0.8652559187937006,0.9031290448443096
1,Liver_0031,0.9347189341866806,0.28582391310764144,0.610271423647161
1,Liver_0054,0.9402851057970003,0.5079458505002943,0.7241154781486473
1,Liver_0057,0.8655821442138669,0.5829961353705728,0.7242891397922199
1,Liver_0063,0.9743443932136053,0.6643050635549073,0.8193247283842563
1,Liver_0071,0.9542972735975419,0.8553486457866091,0.9048229596920755
1,Liver_0072,0.9402302049052708,0.5429172397055254,0.7415737223053981
1,Liver_0074,0.9271126017371573,0.3423967774420947,0.634754689589626
1,Liver_0076,0.9601048313544672,0.8368136117556071,0.8984592215550371
1,Liver_0077,0.9583544407020907,0.8980209449130069,0.9281876928075488
