K,n_cases,WT_Dice_valid_mean,WT_Dice_nan_count,TC_Dice_valid_mean,TC_Dice_nan_count,ET_Dice_valid_mean,ET_Dice_nan_count,Avg_Dice_valid_mean,Avg_Dice_nan_count
0,74,0.9017632070123959,0,0.8311182616045967,0,0.7656684436478733,1,0.8322707086057014,0
1,74,0.9116652975312017,0,0.8678768968023042,0,0.766008906176201,1,0.8489801537652094,0
2,74,0.9124409544768605,0,0.8690382715695533,0,0.7569801487767105,0,0.8461531249410416,0
4,74,0.9126490456531766,0,0.869495874155547,0,0.7694640377888697,1,0.8510641171487812,0
8,74,0.9126213593295368,0,0.8698264662460536,0,0.7717746636797418,1,0.8519304300610325,0
16,74,0.9125491302635611,0,0.8704421464772114,0,0.7728273591197514,1,0.852459434466392,0
32,74,0.9125930271573823,0,0.8706054058414492,0,0.7729901003782608,1,0.852584161836534,0
inf,74,0.9124497591769792,0,0.8699924818896742,0,0.7731846541380358,1,0.8523887729903213,0
