K,case,Vessel_Dice
4,DRIVE_12,0.8293813636441681
4,DRIVE_13,0.8191786642263004
4,DRIVE_14,0.8298721752188404
4,DRIVE_15,0.8257627398731693
4,DRIVE_16,0.832757174022487
4,DRIVE_17,0.8086820317744462
4,DRIVE_18,0.8187632489627308
4,DRIVE_19,0.8672741051444282
4,DRIVE_20,0.8209412846849609
8,DRIVE_01,0.833594381151798
8,DRIVE_02,0.8550170068027211
8,DRIVE_03,0.8085709733949339
8,DRIVE_04,0.8163758728325785
8,DRIVE_05,0.8190424300211129
8,DRIVE_06,0.7985501716901946
8,DRIVE_07,0.8132221840473047
8,DRIVE_08,0.8109467134536772
8,DRIVE_09,0.8151028265385861
8,DRIVE_10,0.8144687812414796
8,DRIVE_11,0.8135105879169203
8,DRIVE_12,0.829504481302153
8,DRIVE_13,0.82059578083893
8,DRIVE_14,0.8305230274575713
8,DRIVE_15,0.8286516278402688
8,DRIVE_16,0.8348517642321438
8,DRIVE_17,0.8129144916497929
8,DRIVE_18,0.8217149907464528
8,DRIVE_19,0.8675363949644841
8,DRIVE_20,0.8207101158005551
16,DRIVE_01,0.8345656192236599
16,DRIVE_02,0.8529775443845696
16,DRIVE_03,0.8079947470412069
16,DRIVE_04,0.8170847945328658
16,DRIVE_05,0.8193378159843391
16,DRIVE_06,0.7994344437547417
16,DRIVE_07,0.8165140908274996
16,DRIVE_08,0.8090164528520692
16,DRIVE_09,0.8135483379078987
16,DRIVE_10,0.8135487538740853
16,DRIVE_11,0.8148298422680935
16,DRIVE_12,0.8295491767951039
16,DRIVE_13,0.8203566340816427
16,DRIVE_14,0.8279364385955332
16,DRIVE_15,0.8301441250712482
16,DRIVE_16,0.8381888970933745
16,DRIVE_17,0.8158562563675095
16,DRIVE_18,0.8235550946897342
16,DRIVE_19,0.8695284713173926
16,DRIVE_20,0.8212004131441031
32,DRIVE_01,0.8345471059367517
32,DRIVE_02,0.850893048619834
32,DRIVE_03,0.8073329581088687
32,DRIVE_04,0.8151419558359622
32,DRIVE_05,0.8181957839037296
32,DRIVE_06,0.7981380915438324
32,DRIVE_07,0.8166594796607733
32,DRIVE_08,0.8075782117313047
32,DRIVE_09,0.8123769661525524
32,DRIVE_10,0.812047569803516
32,DRIVE_11,0.8142496227342862
32,DRIVE_12,0.8286576273537469
32,DRIVE_13,0.8193731446097325
32,DRIVE_14,0.8268484263089793
32,DRIVE_15,0.8295919405718938
32,DRIVE_16,0.8396212133954553
32,DRIVE_17,0.8149532710280374
32,DRIVE_18,0.8243553740107225
32,DRIVE_19,0.870558330832642
32,DRIVE_20,0.8221962750990564
inf,DRIVE_01,0.8343186447414178
inf,DRIVE_02,0.8522440746343923
inf,DRIVE_03,0.8081261215073058
inf,DRIVE_04,0.8171390619110018
inf,DRIVE_05,0.8200565838361114
inf,DRIVE_06,0.7999241941319367
inf,DRIVE_07,0.8178162254910722
inf,DRIVE_08,0.8075654915033154
inf,DRIVE_09,0.8124845276407746
inf,DRIVE_10,0.8133325983499623
inf,DRIVE_11,0.8141431538422572
inf,DRIVE_12,0.8296268180328151
inf,DRIVE_13,0.8213700426089806
inf,DRIVE_14,0.8269384492406076
inf,DRIVE_15,0.8294906600753678
inf,DRIVE_16,0.8379612530638284
inf,DRIVE_17,0.8146765939364827
inf,DRIVE_18,0.8219262817014155
inf,DRIVE_19,0.8697186204463262
inf,DRIVE_20,0.821021147688709
