K,n_cases,Mean_Dice_percent,Vessel_Dice_percent
0,20,82.1051219815508,82.1051219815508
1,20,82.0912047535548,82.0912047535548
2,20,82.10573590885846,82.10573590885846
4,20,82.17030465067732,82.17030465067732
8,20,82.32702301961827,82.32702301961827
16,20,82.37583974903335,82.37583974903335
32,20,82.31658198620838,82.31658198620838
inf,20,82.3494027219204,82.3494027219204
